,coordinate,ip,country,timest,os,connection_type,accuracy,event_type,gps_speed,app_id,count
4738,51.4519|-112.6986,137.186.154.242,CAN,1601554170,ios,wifi,6,GPS,"\\""""",011a6a6ee196da7e165c4f5e9fcab275,1
4739,45.4775|-73.4145,173.179.124.38,CAN,1601557089,android,wifi,5962,GPS,"\\""""",8a38ea503212a1bc3ed9011e59475147,1
4740,43.7860|-79.6775,69.158.246.136,CAN,1601557098,ios,na,6,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4741,43.4775|-80.2020,99.225.224.13,CAN,1601554567,android,wifi,7275,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4742,53.5008|-113.6229,207.228.78.127,CAN,1601553741,android,na,15,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4743,44.3476|-79.7039,"\\""""",CAN,1601554426,ios,na,5,GPS,"\\""""",cfcb94b6d8fddc0054fc1e47efa1239f,1
4744,43.8749|-79.2269,204.101.143.80,CAN,1601554641,ios,wifi,7,GPS,"\\""""",124ae5c32bdf89c6090a0639b3956e99,1
4745,45.3853|-72.7665,66.158.142.58,CAN,1601554456,ios,wifi,8,GPS,"\\""""",98b41fcbe166b4587e8eae221a23c8f6,1
4746,55.0093|-85.4220,64.184.213.25,CAN,1601554874,ios,wifi,5,GPS,"\\""""",4d6bbc869b06056c93770ea4c2081d7c,1
4747,42.9730|-81.3141,65.93.178.241,CAN,1601557128,android,wifi,8360,GPS,"\\""""",1987c5fa941e88221b4da52528864664,1
4748,45.3073|-75.8961,74.15.92.100,CAN,1601555502,ios,na,7,GPS,"\\""""",9111daff59cc5460975f5f83e08a5345,1
4749,49.9192|-119.3954,23.16.97.187,CAN,1601556318,android,wifi,5,GPS,"\\""""",f85029a4b45d3a7d0c6a20d9d80aad09,1
4750,54.5199|-128.5792,173.180.60.16,CAN,1601553774,ios,wifi,4,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
4751,50.1496|-96.8949,24.76.45.138,CAN,1601556078,ios,wifi,9,GPS,"\\""""",15a8371fd8bb4a5ec91c62907871594b,1
